Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
wagenhanger-animal-friends,Wagenhanger - Animal Friends,Hoe lief is deze schattige wagenhanger Diego Dog. Het hondje is gemaakt van zachte ribstof in biscuit en heeft bouclé details in leather brown voor een speelse uitstraling. De plastic ring maakt het makkelijk om de hanger aan de wagen te bevestigen. Zijn geborduurde ogen en het stofneusje maken hem extra schattig. Het perfecte vriendje voor jouw mini voor onderweg!,Jollein,pram_hangers_animal_friends,"Activity Toys, Animal Friends, Season 2025/2026, type-GDP-pram_hangers_animal_friends, Wagenhanger",TRUE,Color,Dog,Size,One Size,,,061-001-68145,0,,0,deny,manual,9.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/061-001-68145_1_20250611T.jpg?v=1752139765,1,FALSE,,,,,,,,,,,,,,,,,,,
laken-leafy-dreams,Laken - Leafy Dreams,"Dit laken heeft een ivory ondergrond met prachtige blaadjes in Milky Coffee en Sand kleuren. Het past perfect bij de Leafy Dreams collectie en voegt een rustige, natuurlijke sfeer toe aan de babykamer. Een tijdloos lakentje dat gemakkelijk te combineren is met de leuke sand- en Milky coffee kleurige dekentjes uit deze collectie. ",Jollein,sheets_leafy_dreams,"Lakens, Leafy Dreams, Season 2025/2026, Sheets, type-GDP-sheets_leafy_dreams",TRUE,Color,Multicolor,Size,75x100 cm,,,008-511-68105,0,,0,deny,manual,9.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/008-511-68105_1_20250611T.jpg?v=1752139875,1,FALSE,,,,,,,,,,,,,,,,,,,
laken-leafy-dreams,Laken - Leafy Dreams,"Dit laken heeft een ivory ondergrond met prachtige blaadjes in Milky Coffee en Sand kleuren. Het past perfect bij de Leafy Dreams collectie en voegt een rustige, natuurlijke sfeer toe aan de babykamer. Een tijdloos lakentje dat gemakkelijk te combineren is met de leuke sand- en Milky coffee kleurige dekentjes uit deze collectie. ",Jollein,sheets_leafy_dreams,"Lakens, Leafy Dreams, Season 2025/2026, Sheets, type-GDP-sheets_leafy_dreams",TRUE,Color,Multicolor,Size,120x150 cm,,,008-524-68105,0,,0,deny,manual,14.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/008-524-68105_1_20250611T.jpg?v=1752139875,2,FALSE,,,,,,,,,,,,,,,,,,,
klamboe-vintage-245cm-cosy-check,Klamboe Vintage 245cm - Cosy Check,Deze klamboe met een ruitpatroon in warme nougat/zand kleuren en een beige ruitje voegt een gezellige sfeer toe aan de babykamer. De transparantie en het gewicht zijn hetzelfde als bij de huidige klamboes. Het Jollein label geeft hem een extra mooi detail. Een ware must-have voor boven het wiegje of ledikant!,Jollein,canopies_vintage_cosy_check,"Cosy Check, Klamboes, Klamboes & Sluiers, Season 2025/2026, type-GDP-canopies_vintage_cosy_check",TRUE,Color,Sand,Size,One Size,,,002-005-68142,0,,0,deny,manual,54.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/002-005-68142_1_20250606T.jpg?v=1752139866,1,FALSE,,,,,,,,,,,,,,,,,,,
deken-box-knit-velvet,Deken - Box Knit - Velvet,Deze heerlijke deken met een velvet achterkant is perfect voor je kleintje! Het gebreide box knit patroon gecombineerd met het zachte velvet zorgt voor een warme en luxe uitstraling. Een must-have voor een warme en knusse slaapomgeving in de babykamer!,Jollein,blankets_box_knit_velvet,"Blankets, Box Knit, Dekens, Season 2025/2026, type-GDP-blankets_box_knit_velvet",TRUE,Color,Warm Sand,Size,75x100 cm,,,517-511-68124,0,,0,deny,manual,39.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/517-511-68124_1_20250611T.jpg?v=1752139948,1,FALSE,,,,,,,,,,,,,,,,,,,
deken-box-knit-velvet,Deken - Box Knit - Velvet,Deze heerlijke deken met een velvet achterkant is perfect voor je kleintje! Het gebreide box knit patroon gecombineerd met het zachte velvet zorgt voor een warme en luxe uitstraling. Een must-have voor een warme en knusse slaapomgeving in de babykamer!,Jollein,blankets_box_knit_velvet,"Blankets, Box Knit, Dekens, Season 2025/2026, type-GDP-blankets_box_knit_velvet",TRUE,Color,Milky Coffee,Size,75x100 cm,,,517-511-68125,0,,0,deny,manual,39.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/517-511-68125_1_20250611T.jpg?v=1752139948,2,FALSE,,,,,,,,,,,,,,,,,,,
deken-box-knit-velvet,Deken - Box Knit - Velvet,Deze heerlijke deken met een velvet achterkant is perfect voor je kleintje! Het gebreide box knit patroon gecombineerd met het zachte velvet zorgt voor een warme en luxe uitstraling. Een must-have voor een warme en knusse slaapomgeving in de babykamer!,Jollein,blankets_box_knit_velvet,"Blankets, Box Knit, Dekens, Season 2025/2026, type-GDP-blankets_box_knit_velvet",TRUE,Color,Warm Sand,Size,100x150 cm,,,517-522-68124,0,,0,deny,manual,67.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/517-522-68124_1_20250611T.jpg?v=1752139948,3,FALSE,,,,,,,,,,,,,,,,,,,
deken-box-knit-velvet,Deken - Box Knit - Velvet,Deze heerlijke deken met een velvet achterkant is perfect voor je kleintje! Het gebreide box knit patroon gecombineerd met het zachte velvet zorgt voor een warme en luxe uitstraling. Een must-have voor een warme en knusse slaapomgeving in de babykamer!,Jollein,blankets_box_knit_velvet,"Blankets, Box Knit, Dekens, Season 2025/2026, type-GDP-blankets_box_knit_velvet",TRUE,Color,Milky Coffee,Size,100x150 cm,,,517-522-68125,0,,0,deny,manual,67.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/517-522-68125_1_20250606T.jpg?v=1752139948,4,FALSE,,,,,,,,,,,,,,,,,,,
monddoekje-hydrofiel-31x31cm-flower-fairies-3-stuks,Monddoekje Hydrofiel 31x31cm - Flower Fairies - 3 Stuks,"Deze fijne hydrofiele monddoekjes komen altijd van pas. Ze nemen goed vocht op en zijn heerlijk zacht, perfect voor de gevoelige babyhuid. De dromerige Flower Fairies print met lieve bloemetjes maakt ze extra schattig!

Verpakt per 3 stuks, onmisbaar voor thuis en onderweg.",Jollein,burp_cloths_flower_fairies_3pack,"Burp cloths, Flower Fairies, Monddoekjes, Season 2025/2026, type-GDP-burp_cloths_flower_fairies_3pack",TRUE,Color,Multicolor,Size,One Size,,,537-848-68104,0,,0,deny,manual,4.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/537-848-68104_1_20250611T.jpg?v=1752139937,1,FALSE,,,,,,,,,,,,,,,,,,,
polsrammelaar-tiny-park,Polsrammelaar - Tiny Park,Deze schattige polsrammelaar is het ideale speeltje voor je kleintje. Het bouclé diertje maakt een vrolijk geluidje bij elke beweging. De polsband maakt het eenvoudig om de rammelaar vast te maken aan de pols van je baby. Zo heeft je kleintje altijd zijn nieuwe favoriete vriendje binnen handbereik! Uren speelplezier gegarandeerd!,Jollein,rattles_wrist_tiny_park,"Polsrammelaars, Rattle Toys, Season 2025/2026, Tiny Park, type-GDP-rattles_wrist_tiny_park",TRUE,Color,Dog Mick,Size,One Size,,,071-001-68149,0,,0,deny,manual,7.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/071-001-68149_1_20250611T.jpg?v=1752139976,1,FALSE,,,,,,,,,,,,,,,,,,,
